ticker,name,short_name
AAA,An Phat Bioplastics Joint Stock Company,An Phat Bioplastics
ACB,Asia Commercial Joint Stock Bank,Asia Commercial Bank
ACG,An Cuong Wood - Working Joint Stock Company,An Cuong Wood
AGG,An Gia Real Estate Investment And Development Corporation,An Gia Real Estate
AGR,AgriBank Securities Corporation,AgriBank Securities
ANV,Nam Viet Corporation,Nam Viet
APG,APG Securities Joint Stock Company,APG Securities
ASM,Sao Mai Group Corporation,Sao Mai Group
AST,Taseco Air Services Joint Stock Company,Taseco Air Services
BAB,Bac A Commercial Joint Stock Bank,Bac A Commercial Bank
BAF,BAF Vietnam Agriculture Joint Stock Company,BAF Vietnam Agriculture
BCG,Bamboo Capital Group Joint Stock Company,Bamboo Capital
BCM,Investment and Industrial Development Joint Stock Corporation,Becamex IDC Corp.
BFC,Binh Dien Fertilizer Joint Stock Company,Binh Dien Fertilizer
BHN,Hanoi Beer Alcohol and Beverage Joint Stock Corporation,HABECO
BIC,BIDV Insurance Corporation,BIDV Insurance
BID,Joint Stock Commercial Bank for Investment and Development of Vietnam,BIDV
BMI,BaoMinh Insurance Corporation,Bao Minh Insurance
BMP,Binh Minh Plastics Joint Stock Company,Binh Minh Plastics
BSI,BIDV Joint Stock Securities Company,BIDV Securities
BSR,Binh Son Refining and Petrochemical Joint Stock Company,Binh Son Refining and Petrochemical
BVH,Bao Viet Holdings,Bao Viet Group
BVS,Bao Viet Securities Company,Bao Viet Securities
BWE,Binh Duong Water - Environment Corporation - Joint Stock Company,Binh Duong Water Environment
CDN,DaNang Port Joint Stock Company,Da Nang Port
CEO,CEO Group Joint Stock Company,CEO Group
CHP,Central Hydropower Joint Stock Company,Central Hydropower
CII,Ho Chi Minh City Infrastructure Investment Joint Stock Company,Ho Chi Minh Infrastructure
CKG,CIC Group Joint Stock Company,CIC Group
CMG,CMC Corporation,CMC Corporation
CRE,Century Land Joint Stock Company,Century Land
CSV,South Basic Chemicals Joint Stock Company,South Basic Chemicals
CTD,Coteccons Construction Joint Stock Company,COTECCONS construction
CTF,City Auto Corporation,City Auto
CTG,Vietnam Joint Stock Commercial Bank For Industry and Trade,VietinBank
